country_name,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Ethiopia, The Federal Dem. Rep. of",0.372,0.622,0.78,1.089,1.127,0.878,1.165,1.008,0.893,0.808,1.369,1.29,1.15,1.078,1.244,1.201,1.462,1.565,1.523,0.964,1.373
Falkland Islands (Malvinas),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Faroe Islands,0.51,0.216,0.476,1.048,1.617,1.033,0.495,1.142,0.959,0.895,1.448,0.265,1.06,0.366,0.603,1.772,0.82,0.81,1.496,0.837,0.881
"Fiji, Rep. of",0.612,0.762,0.779,0.762,0.653,0.574,0.729,0.666,1.029,0.601,0.38,0.961,0.933,0.615,0.965,0.753,0.632,1.109,1.152,0.794,1.018
Finland,1.153,2.019,1.361,1.166,0.707,1.225,2.195,1.2,1.94,2.125,1.685,0.232,1.345,1.533,1.414,2.584,2.605,2.142,1.477,2.144,1.436
France,1.17,1.141,1.355,1.01,1.752,0.924,0.968,1.256,1.349,0.933,1.148,0.326,1.462,1.146,0.638,1.965,1.513,1.689,1.682,1.925,1.888
French Polynesia,0.456,0.329,0.5,0.795,0.703,0.531,0.675,0.847,0.856,0.363,0.808,0.767,0.22,0.728,0.541,0.62,0.685,1.132,0.908,0.638,0.864
Gabon,0.608,0.351,0.312,0.694,0.897,0.816,0.753,0.741,0.938,0.854,0.868,0.979,0.568,0.548,0.727,0.753,0.959,1.353,1.105,0.809,1.402
"Gambia, The",0.877,1.09,1.434,1.534,1.198,1.224,1.542,1.276,1.155,1.446,0.745,1.377,1.107,0.963,1.081,1.312,1.351,1.808,1.942,1.208,1.548
Georgia,1.25,0.969,1.277,1.036,-0.258,0.915,0.556,1.28,0.888,0.668,0.693,2.488,0.428,1.219,1.388,1.247,1.757,1.353,0.822,2.517,1.736
Germany,1.36,1.755,1.281,1.478,1.248,0.988,1.015,1.248,2.08,1.532,1.27,0.182,1.108,1.338,0.571,2.506,1.658,1.971,1.636,2.377,2.314
Ghana,0.67,0.51,0.644,0.908,1.073,0.816,1.043,1.062,1.022,0.805,0.99,1.39,0.992,0.712,0.937,0.988,1.328,1.45,1.569,1.237,1.489
